Size,Dimension,Property Type,Area,Bedroom,Architecture
495 ,sq ft,House,Wimbledon,1,https://imagekit.io/tools/asset-public-link?detail=%7B%22name%22%3A%22495.PNG%22%2C%22type%22%3A%22image%2Fpng%22%2C%22signedurl_expire%22%3A%222028-01-09T09%3A47%3A36.806Z%22%2C%22signedUrl%22%3A%22https%3A%2F%2Fmedia-hosting.imagekit.io%2F%2F8e9d22394eef4d81%2F495.PNG%3FExpires%3D1831024057%26Key-Pair-Id%3DK2ZIVPTIP2VGHC%26Signature%3DSDZf~AxwjkyQT9sP60rImPMhB-OmiafjZZjNuVprtdFCUdaH06da~yCyvDrNGPkulSJL~pO9TfkgMYaTCYvmV7YxK3FrS4Q2E0dV5zBPRg6gN5V7nZaVBtZ9WvTHVzuGgkhKaOStoLyW6nD8rZlNeQTu7q4KVrJnp9bzNqNq8TOS8hctNkVjGCKM0O0sZTwYSPpisioTvCfu~7P1MPvFjVkB6hYxtIGHQmG3r9PEe61FgT7sIZXA2TGcM6Afu210w0dZLyC~1bD0cO13P8UZY-KrPV6zES1mea4SmgnbpCeLGpqEIb6E~TyWBBvWGpAMeSwyFTzi5vEplt7N73vQgQ__%22%7D
1500,sq ft,House,Chelsea,1,https://imagekit.io/tools/asset-public-link?detail=%7B%22name%22%3A%221500.PNG%22%2C%22type%22%3A%22image%2Fpng%22%2C%22signedurl_expire%22%3A%222028-01-09T09%3A49%3A36.779Z%22%2C%22signedUrl%22%3A%22https%3A%2F%2Fmedia-hosting.imagekit.io%2F%2F5e723a5f466e4ea7%2F1500.PNG%3FExpires%3D1831024177%26Key-Pair-Id%3DK2ZIVPTIP2VGHC%26Signature%3DIHw5-g2JVCuVkuKURsnMttMMGL8jr9khTRg~Z537tXiIOv5169CXO~tCDtLnEcZwZLXr6biMOADli6vHZBcv1avJ600L24baCooNawK7t3nEfitpWGLVkI6Wduk~LEyCKbIzrZx3XhnhSq04rqpn2IhdKrdf90A0vIN18nLixVs6KY0-Iahl3Q0AN3sgFC8-H10wWUsZCZ~VBh1pVmOYXxcYoU9HMigKqejLsn0J3iDUne7~JAg40vcZAeB-vzj6CQKASNK5lOZT-INFfiHi2Rk49dnUFPhotqnlQofUGDWvQekktp~qbpLfOQY~m-A~QQnKUYE6lDiCl~RoC9GRDw__%22%7D
807,sq ft,House,Chelsea,1,https://imagekit.io/tools/asset-public-link?detail=%7B%22name%22%3A%22807.PNG%22%2C%22type%22%3A%22image%2Fpng%22%2C%22signedurl_expire%22%3A%222028-01-09T09%3A49%3A56.894Z%22%2C%22signedUrl%22%3A%22https%3A%2F%2Fmedia-hosting.imagekit.io%2F%2Fd1012b5c1d544325%2F807.PNG%3FExpires%3D1831024197%26Key-Pair-Id%3DK2ZIVPTIP2VGHC%26Signature%3DcXNA5cidKOD8NWWK7GTiJlxZIkOb7O3H3nyvZu6D9xa0RsNq-jyWlOuaDLWOn-1u8Z9ZDXfyV3BbVq~o4LjxY-Lr3O9JMPjHlF3AUJOPsxmqRj38IzgGaqHKYU4t3FY40ctdStQ6O2QgzXiV7yImdWkkpLPQk9wya2~HxdZnvkNeZPX8dSU8BvDyM8GOrK95ghENXNHtT1qaw3Gd9EhrY6SORt77cd3cGtabZScRNO7Ed8lnTjmjn~i3pUIuDrSrf-J9VtiaI1fbiF9PO0xqQbD611SqUo615Vr1AuukG0JejM6uB25lzy2y1695fRSkaFiB2OflN4XKF54wHH6jDg__%22%7D
1518,sq ft,House,Blenheim Gardens,1,https://imagekit.io/tools/asset-public-link?detail=%7B%22name%22%3A%221518.PNG%22%2C%22type%22%3A%22image%2Fpng%22%2C%22signedurl_expire%22%3A%222028-01-09T09%3A50%3A16.474Z%22%2C%22signedUrl%22%3A%22https%3A%2F%2Fmedia-hosting.imagekit.io%2F%2F8c04b62798624f47%2F1518.PNG%3FExpires%3D1831024216%26Key-Pair-Id%3DK2ZIVPTIP2VGHC%26Signature%3DBMjq2Yeska-4sgYwLGPbQYMzrGDHX7VBZyqv78dbqeFCXMXbdRCNIeoKFTvireIAqOjuHLSolN16wWg1nqkbPpIuMJkPClWuZSHaR~a24TWMxkb~U5IvD70qc44gejeiZ91bsaFOyqH8lMNjPHRTM0ptgfnitPTxLB98nDat~BTpv6hPjAAqCppTy5JEK6MVtjm2oas8kXrZz0ix6qyvqrZ-9~kblvjd0ObFdwHkeK7tdATViFxweFQ-GxzLOntP0vLPo3a7CVgESXi4Yzj3~SxKuxyoZRW3zJNeltIR3hR6P33xR3PBQf7JnBXGX2Ci6jm3sk49rm1aZASwnvaM0A__%22%7D
855,sq ft,House,Notting hill,1,https://imagekit.io/tools/asset-public-link?detail=%7B%22name%22%3A%22855.PNG%22%2C%22type%22%3A%22image%2Fpng%22%2C%22signedurl_expire%22%3A%222028-01-09T09%3A50%3A47.607Z%22%2C%22signedUrl%22%3A%22https%3A%2F%2Fmedia-hosting.imagekit.io%2F%2Ffd413a24a68f4673%2F855.PNG%3FExpires%3D1831024248%26Key-Pair-Id%3DK2ZIVPTIP2VGHC%26Signature%3DbIEvDu6ZiODD7IPGEWu1s5R4YbVoPt3rTKOQmpr6d~fN6OWtArTWhDvCIdESBIs5zy8Ot61C14HOW8TEdGqczkiv8kYkgDLdsP0C3TviKUvWZq~yeScQGKvwvm-kmMJV3QEOl4vbrEGAmisZIANG-AGeBdXex-PVzXBUpVmxYXSXIROSA1YuPpuwV9vepMH27sGArdsLRIgzpC9J0dpsMU68dvoETniVqv3Et7ltr65VdKWi32zsNRLBnMivVuf4E97BxuaV8UFcwdopbsQ1NDlw7~8dFJWOmRQ0gbyrbAf0wnLtUDnCBR1-ZOuut0rIq~dY6r77Pj3vUOrzMdgHqw__%22%7D
571,sq ft,House,Pall Mall,1,https://imagekit.io/tools/asset-public-link?detail=%7B%22name%22%3A%22571.PNG%22%2C%22type%22%3A%22image%2Fpng%22%2C%22signedurl_expire%22%3A%222028-01-09T09%3A51%3A04.133Z%22%2C%22signedUrl%22%3A%22https%3A%2F%2Fmedia-hosting.imagekit.io%2F%2F3e75c5cd81374cd3%2F571.PNG%3FExpires%3D1831024264%26Key-Pair-Id%3DK2ZIVPTIP2VGHC%26Signature%3DXk30UsbuSFnkNha8el4SPovyuaE9e5SXP0BBXfj~bJcZvD5Xj8nNz7ZfI5c-d3pEQk21gKKHzPcE8aB5QJVVMNuLohkaAGIvA3S8j2Sp1hY8QgyI3O4qQkrIQMFaS2xOai3DnU-8v~2XkHXMSQ1mkuEFid0yHYtUmea~cpHU5VJiiOjweh9KS9ech8aj7BWzYBC06k2ftO-faa7SrMmjcdjGo6X6CXeJVIBIQzC2Ug2QKxA~rHReUyPnnQxN5vsysD7J~sEld3PnpQJq3qu1eivuZkcCOEMk8loX26Y9xcNcTKnqk6UIgnY-LQBeKe2aGaywhfm01ZAJkXC4Zt0SKg__%22%7D
630,sq ft,House,Off Moscow Road,1,https://imagekit.io/tools/asset-public-link?detail=%7B%22name%22%3A%22630.PNG%22%2C%22type%22%3A%22image%2Fpng%22%2C%22signedurl_expire%22%3A%222028-01-09T09%3A51%3A20.413Z%22%2C%22signedUrl%22%3A%22https%3A%2F%2Fmedia-hosting.imagekit.io%2F%2F6b93bd4b067941f7%2F630.PNG%3FExpires%3D1831024280%26Key-Pair-Id%3DK2ZIVPTIP2VGHC%26Signature%3D1ynntux~8amMOVw~eGdyLdVE-pQI7RBmDNTFGtHLivjJzPdhfn24MnEP5g2R1HBdE98dTN-dO4JE7jZtmGFF6u7VY6avCJbp4MAT1NKGPcuB8jrWABwidytXPDeRMJggqUK3rqIMRqhyXi88UGce6822tApjuM0o4qqW~Jz0wRS42DNmyRbRamOwh2rqbghG2GNU3K62ZQcTYGWOoLrBNfmmqXng430sZk~rMV5md0KNCcAleLSWWbRncJmKXQ5VwFHkDWB14U4oXAZSGjMXHFrtHQdA4YmE8LZY~IpITOVmKy9eDsLrJJjjGsLks-jgRs~45NHL7zo1wxNglNf8Vg__%22%7D
1076,sq ft,House,Maida Hill,1,https://imagekit.io/tools/asset-public-link?detail=%7B%22name%22%3A%221076.PNG%22%2C%22type%22%3A%22image%2Fpng%22%2C%22signedurl_expire%22%3A%222028-01-09T09%3A51%3A37.256Z%22%2C%22signedUrl%22%3A%22https%3A%2F%2Fmedia-hosting.imagekit.io%2F%2F9b0b2a7a0fa84998%2F1076.PNG%3FExpires%3D1831024297%26Key-Pair-Id%3DK2ZIVPTIP2VGHC%26Signature%3Dt2xMoLVetDIlNRYE8FIv37u7SmpIT0mkJmqJp~kZZzFZbfJpoZOy4hR7xPl30tpgQ1d8R6QuvMFEyffSWGvsXtk5v3bxB85CexgO7tDNvdk9FvjoHloC-zFyzBekOX8Hulk2cyiUhQOjdyI6VnmR9Wcg9BIEKWcDCggmmG2He36yRMzG1uG3M5-SmqsUTkMcPGz3L3Tkm3DoYZYF8pNP0h31bs6B9MObWT4ZsHU-US-O4XKWqAd0UGaJckHJd~m--boIz8ZudeQdo2cUQUbzaaKpwwpZFHi2rL54g8-vNta1ANk4NxMf8VRzkXxSAYr7aYG2MebPBFThmdK9-Yy4mQ__%22%7D
662,sq ft,House,Mexfield,1,https://imagekit.io/tools/asset-public-link?detail=%7B%22name%22%3A%22662.PNG%22%2C%22type%22%3A%22image%2Fpng%22%2C%22signedurl_expire%22%3A%222028-01-09T09%3A51%3A53.889Z%22%2C%22signedUrl%22%3A%22https%3A%2F%2Fmedia-hosting.imagekit.io%2F%2Ff375d2be99924170%2F662.PNG%3FExpires%3D1831024314%26Key-Pair-Id%3DK2ZIVPTIP2VGHC%26Signature%3DTpM7cgCKivknu4pinsc17pL5ereTo13Pl6bEY7zJGSlS8ihiEQb42Fj1Zhl07Go5Rf0~h-GNT6hQlyYL4t9j4AQVKshUzEvwyNMGG83fOz5Jxpmv8PVzYMFB~UKWcPDamK5Q1mCQY~Yof22dyR55eWd-86t8BvXJaJ-~KqxR-f2gdh5gSG06qh-DdKuS2DLwUJo7tmXkvaaa16RXon8LhHKhQIpJ2g0Acm-BAZuUBFUxkCnfDmYnQrP0ECT2otocVmDtHUCvMi5aRGew5lm~CRo8UzKcHaUToFDMiyQfw-1kOuSKTpxWYZqQQ6wTzLpQdSWgzJTd68BBjOjlyilLvg__%22%7D
545,sq ft,House,Kenninghall Road,1,https://imagekit.io/tools/asset-public-link?detail=%7B%22name%22%3A%22545.PNG%22%2C%22type%22%3A%22image%2Fpng%22%2C%22signedurl_expire%22%3A%222028-01-09T09%3A52%3A07.416Z%22%2C%22signedUrl%22%3A%22https%3A%2F%2Fmedia-hosting.imagekit.io%2F%2F0a27f132e50f4771%2F545.PNG%3FExpires%3D1831024327%26Key-Pair-Id%3DK2ZIVPTIP2VGHC%26Signature%3Dx9q9UIjj17QtIFy4uKpRdtGuwjfDAllv-QxWGRGtk1WDUfxCy3r0J3pxqWu7MyuSjLK5FezahPRKbK3MkhI~oII59rofNV4hJ~-yR49YwAgWbxMcOvNz8LkBjCc4oqmh7I3DGv8VYF9Bnju7ZCduJ6JUsbdYPzJsWA-WTr8VsywIv6zIxQchP8-C0Ef7rT8o24P4G7bkDm~Mpi4SSZRcFAQj~EDdmxBLrQMiSQQsK7bLLC~2ffWEQxpqY7--o8pLnbsCoOO2dznAzBYpTxSDFEt9H4oUysrYhx~ymAkXgn7uCDlZxdhxSoxf7o72O~afzUvlDxszKh8rlVYlR98LyA__%22%7D
474,sq ft,House,Chepstow Road,1,https://imagekit.io/tools/asset-public-link?detail=%7B%22name%22%3A%22474.PNG%22%2C%22type%22%3A%22image%2Fpng%22%2C%22signedurl_expire%22%3A%222028-01-09T09%3A52%3A20.325Z%22%2C%22signedUrl%22%3A%22https%3A%2F%2Fmedia-hosting.imagekit.io%2F%2F2d6632beda6e47ab%2F474.PNG%3FExpires%3D1831024340%26Key-Pair-Id%3DK2ZIVPTIP2VGHC%26Signature%3DtB3X3Fc2Yy~Y6EMpaCY0YeACtTOGvYftp8MvWV6H584yCXW7~rSPyvNPXBtrAqa~HO0qoZPgB4Rfl1QTOJLvT7ypNgncQtTK7scM1Kp3DaDCSQd7uNgSq0QjqaVyfJkylKM~r87okE8oyF69U-Gq1FptCJir75fejaz0Ypbbme1g51~4ngVgf5IIagA1G6z5fsQpZ1vtdtpu3oY268KM3CVLWqo-~bbEQj4Shj53oNTCdz39-b9XmzkZuAXSD8d29vA7aMUm07s3dpjvc8tj~VxCaGR~vtF0xsMJBOIxyuD4w632VulW84q5IXChT8-YITpkHjb-SYR5o~NdPG8h~Q__%22%7D
662,sq ft,House,Quebec Way,1,https://imagekit.io/tools/asset-public-link?detail=%7B%22name%22%3A%22662.PNG%22%2C%22type%22%3A%22image%2Fpng%22%2C%22signedurl_expire%22%3A%222028-01-09T09%3A52%3A32.991Z%22%2C%22signedUrl%22%3A%22https%3A%2F%2Fmedia-hosting.imagekit.io%2F%2Ffe0b732bebc9473b%2F662.PNG%3FExpires%3D1831024353%26Key-Pair-Id%3DK2ZIVPTIP2VGHC%26Signature%3DuadwhK37GKhEEj~wY9aOFEOOHAD6O3WuMsv5L8rWDV0HyvjfFW0s0cgTLBwXCg1H1O0HDaVhf4BcCadGQjInkoj6RRXUWx2AuFBSs74YOD~yD3AinT9RNGwkPGXtI7q864BpNFl52W4d2Cp7DY1vfgeuRfHKX681XQ3Ugj9V8jLMP5nY6FqXbcRAopAW~~43ZCgxsScAxQDXqnoJ2TZ4XcDs2Ip8fk~mRUTVzrQwaDsWp0Pz0ENAcAANuVVR5dy1v4qqElUewvjF5c5D1JheOx-y2mC4H-yR2u7pAjm2ekWQgU8n14cNLGh5tOpXEyPYqcag~S6qhuoI2z7U02wm1w__%22%7D
